n,p,er,hidden_labels,activation,sim,iter,auc_single,auc_multi,ap_single,ap_multi
5000,10,0.01,1,identity,0.8,0,0.5965364247888937,0.6236343685892849,0.026138904406222414,0.04425991192348894
5000,10,0.01,1,identity,0.8,1,0.8043755102040816,0.7999673469387755,0.12635445947378063,0.09973781191364609
5000,10,0.01,1,identity,1.0,0,0.5965364247888937,0.6242545680072515,0.026138904406222414,0.045300161747292456
5000,10,0.01,1,identity,1.0,1,0.8043755102040816,0.8025142857142857,0.12635445947378063,0.11878686585704565
5000,10,0.01,1,relu,0.8,0,0.6024521730833453,0.6245885215400029,0.026320819434326438,0.044272451911548334
5000,10,0.01,1,relu,0.8,1,0.5921142857142856,0.7892897959183673,0.051326040626040625,0.09576190651742064
5000,10,0.01,1,relu,1.0,0,0.6024521730833453,0.6242068603597157,0.026320819434326438,0.0402207563247232
5000,10,0.01,1,relu,1.0,1,0.5921142857142856,0.7956897959183673,0.051326040626040625,0.08953926655919543
