n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,auc_multi_refined,ap_single,ap_multi,ap_multi_refined,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,sklearn,25,relu,2,0.5816059338820627,0.5079330779208742,0.41042762988928,0.01796644257455255,0.01298333032575011,0.008825382036351546,15,25,True
50000,100,0.01,sklearn,25,relu,3,0.6024033015050978,0.464688438121853,0.419758313597396,0.015726544910743247,0.011201860659245024,0.009226185414109443,15,25,True
50000,100,0.01,sklearn,25,relu,4,0.5941435912177548,0.5924909589837716,0.37158122376288005,0.025418054521633426,0.015625997179166545,0.008909368393983236,15,25,True
50000,100,0.01,sklearn,25,relu,5,0.566272259524157,0.535258147924182,0.42829253289405095,0.012322709817861481,0.012429515770107716,0.008364872708579668,15,25,True
50000,100,0.01,sklearn,25,relu,6,0.6393104791002082,0.5395719698671579,0.3706204789504426,0.03460249852091299,0.015510443919148112,0.007882643426860137,15,25,True
50000,100,0.01,sklearn,25,relu,7,0.6191248383446492,0.515187393913676,0.398995716133204,0.018788265988053346,0.012170342180469966,0.00815952272569997,15,25,True
50000,100,0.01,sklearn,25,relu,8,0.6115183910965387,0.5361901939807225,0.4338093057383505,0.025453613662370582,0.011863877620106544,0.008537036726423145,15,25,True
50000,100,0.01,sklearn,25,relu,9,0.6093173379164778,0.5626594166064521,0.42844459539238994,0.02121426066113153,0.013699555659122141,0.009567294317490208,15,25,True
50000,100,0.01,sklearn,25,relu,0,0.5923375853156161,0.5192119098184764,0.3951520767044644,0.017386524584445194,0.011986378007027662,0.008527750121023721,20,25,True
50000,100,0.01,sklearn,25,relu,1,0.5626376061281768,0.48216835604200814,0.43546140697649877,0.014280660298117562,0.010577746447904919,0.009366264170694902,20,25,True
50000,100,0.01,sklearn,25,relu,2,0.6040711305396194,0.4792833100415591,0.4070646401347085,0.019086065374637175,0.01084328909094832,0.008625218270281395,20,25,True
50000,100,0.01,sklearn,25,relu,3,0.5764519658610991,0.5281296328289554,0.4291172392072445,0.016488340456469193,0.01436700971024812,0.01037305457887216,20,25,True
50000,100,0.01,sklearn,25,relu,4,0.575459631822616,0.5013248787069656,0.3773021812099433,0.015424760034770977,0.01238029583047194,0.008929598065443863,20,25,True
50000,100,0.01,sklearn,25,relu,5,0.5943594933938781,0.48278962785600343,0.388686510544012,0.019059562842222363,0.011113975135170887,0.008354336523942046,20,25,True
50000,100,0.01,sklearn,25,relu,6,0.6148190001836182,0.5416816483845428,0.3804538619178606,0.01927538763643387,0.012658870691999963,0.008207895834750402,20,25,True
50000,100,0.01,sklearn,25,relu,7,0.5795118533647303,0.46401037661052225,0.4272737459190482,0.01574893128289766,0.009998098065501951,0.00989654939258008,20,25,True
50000,100,0.01,sklearn,25,relu,8,0.6143359755887069,0.5468947981693794,0.42377667650792195,0.018742079893972197,0.013662500620920875,0.00951152881969804,20,25,True
50000,100,0.01,sklearn,25,relu,9,0.6011159269533056,0.480914817383264,0.40696544151641234,0.017761717790267313,0.01071845690651763,0.00879363755709548,20,25,True
50000,100,0.01,sklearn,25,relu,0,0.6160960863697706,0.5354191632928474,0.394429689608637,0.01736100096299316,0.014000901340646767,0.009165747176249576,25,25,True
50000,100,0.01,sklearn,25,relu,1,0.5900169216991221,0.5123340116496605,0.45776424766029145,0.01563052398439818,0.012422431805097875,0.009357569221528287,25,25,True
50000,100,0.01,sklearn,25,relu,2,0.6524878277772833,0.47172379360604616,0.3799978716325921,0.028072522726428403,0.01271383192161462,0.009866703534065656,25,25,True
50000,100,0.01,sklearn,25,relu,3,0.540224348893981,0.5114807326533974,0.41981758547872583,0.013445126719459206,0.013230531194203369,0.008947341183735403,25,25,True
50000,100,0.01,sklearn,25,relu,4,0.6165798146881413,0.5178061065854114,0.39587836577327284,0.018590928921140556,0.011806653016664054,0.008023900299879597,25,25,True
50000,100,0.01,sklearn,25,relu,5,0.5298689550852915,0.46714292132812146,0.4575660091956088,0.012867289020597621,0.010470500214456044,0.009540155148422004,25,25,True
50000,100,0.01,sklearn,25,relu,6,0.6028693304323964,0.46298794053079306,0.4521470975930064,0.015648083215849998,0.011332824370809496,0.009439996668440212,25,25,True
50000,100,0.01,sklearn,25,relu,7,0.6300796772698348,0.4539131956274497,0.3848730559544944,0.017708009149200437,0.010296422326699358,0.0091420520918204,25,25,True
50000,100,0.01,sklearn,25,relu,8,0.5814712454427848,0.5451109167352699,0.4536315614096985,0.014329178293929191,0.01344515878388593,0.009570987370036723,25,25,True
50000,100,0.01,sklearn,25,relu,9,0.5840673346213175,0.4806721480882419,0.38992556648844556,0.015245359009330137,0.010616795325268286,0.008337826380449663,25,25,True
