n,p,er,hidden_layers,activation,iter,auc_single,auc_multi,auc_multi_refined,ap_single,ap_multi,ap_multi_refined,n_distinct,n_overlapping,shared_second_layer_weights
1000,20,0.01,1,identity,0,0.6366989396035039,0.3559243891194099,0.3563854310742278,0.06090116561527247,0.03155573409056943,0.028976947116476144,5,5,True
1000,20,0.01,1,identity,1,0.9678714859437751,0.9397590361445783,0.08433734939759041,0.1111111111111111,0.0625,0.004366812227074236,5,5,True
1000,20,0.01,1,identity,0,0.4857723577235773,0.5487804878048781,0.5579268292682926,0.02231649079977943,0.02540469971423593,0.09834771958843902,10,5,True
1000,20,0.01,1,identity,1,0.7327935222672064,0.7530364372469635,0.2807017543859649,0.04911984646945933,0.059104199893673576,0.010748321355062929,10,5,True
1000,20,0.01,1,relu,0,0.5,0.5,0.5,0.036,0.036,0.036,5,5,True
1000,20,0.01,1,relu,1,0.995983935742972,0.008032128514056214,0.02008032128514059,0.5,0.004032258064516129,0.004081632653061225,5,5,True
1000,20,0.01,1,relu,0,0.5,0.5020325203252032,0.5,0.016,0.01606425702811245,0.016,10,5,True
1000,20,0.01,1,relu,1,0.46558704453441296,0.5134952766531713,0.5121457489878543,0.012,0.013557933800475081,0.012295081967213115,10,5,True
