n,p,er,activation,sim,iter,auc_single,auc_multi,ap_single,ap_multi
50000,100,0.01,identity,0.2,17,0.6870654810024251,0.6864865369069086,0.021980347700736574,0.025392603915893736
50000,100,0.01,identity,0.2,18,0.7326093994661105,0.708129629365679,0.03167884438586893,0.024810084882752645
50000,100,0.01,identity,0.2,19,0.7054225959465286,0.6652045601552392,0.03772463267796373,0.03385948017495269
50000,100,0.01,identity,0.2,20,0.7056583198707592,0.6585399838449111,0.030394549734286132,0.022977634879556154
50000,100,0.01,identity,0.2,21,0.7207379006150857,0.6430271168303299,0.04095388665388858,0.024166414045995385
50000,100,0.01,identity,0.2,22,0.7644993939393938,0.6712248888888889,0.03835127369576834,0.021308150242285225
50000,100,0.01,identity,0.2,23,0.760385957105282,0.7402490934471259,0.04027787784046321,0.036060024735799084
50000,100,0.01,identity,0.2,24,0.7329215993847438,0.7146602843215183,0.0526794526056865,0.03576255810056993
50000,100,0.01,identity,0.4,0,0.7124757303412452,0.7265236577852298,0.02667821001808842,0.03271543836165863
50000,100,0.01,identity,0.4,1,0.7834457806109436,0.7406500198325792,0.04394722972969394,0.03908033517873183
50000,100,0.01,identity,0.4,2,0.7045471631916599,0.6777738795331016,0.02622769323877584,0.02501843474972567
50000,100,0.01,identity,0.4,3,0.7273726956837243,0.7227519222986646,0.03140650675523037,0.032078648063520024
50000,100,0.01,identity,0.4,4,0.7444679372357479,0.7238097844990751,0.030716537171683735,0.030131652171044306
50000,100,0.01,identity,0.4,5,0.7461745189391938,0.703114668655588,0.027142669142421274,0.02155845837546387
50000,100,0.01,identity,0.4,6,0.7194704623692241,0.7177732844156733,0.043342660057477625,0.032426549648513846
50000,100,0.01,identity,0.4,7,0.7629219171133383,0.7271353679926889,0.06404784126910637,0.05087507619971632
50000,100,0.01,identity,0.4,8,0.7305420338617653,0.7269060582968081,0.04729893947168655,0.03887039733679904
50000,100,0.01,identity,0.4,9,0.7247047880944678,0.7262141511408835,0.03849878701644449,0.036590016441972725
50000,100,0.01,identity,0.4,10,0.7348784083456004,0.7028955620798577,0.04171771982965636,0.038765822752019494
50000,100,0.01,identity,0.4,11,0.7386128364389234,0.7165934204078701,0.030715605696642764,0.025080760205767653
50000,100,0.01,identity,0.4,12,0.7372919725998626,0.7097655884619644,0.032276259885083945,0.028688610227223434
50000,100,0.01,identity,0.4,13,0.7403607275204812,0.7164230104524985,0.044633547826499004,0.03065721387348467
50000,100,0.01,identity,0.4,14,0.7167076294887271,0.706397118248039,0.0409118615815377,0.03883327818907964
50000,100,0.01,identity,0.4,15,0.7429390883921652,0.7234032041734235,0.05572951824574531,0.055226019916514824
50000,100,0.01,identity,0.4,16,0.7180639360035154,0.7243453376114504,0.03498091441282756,0.038123992744073784
50000,100,0.01,identity,0.4,17,0.6870654810024251,0.6985504632796469,0.021980347700736574,0.025864024142903876
50000,100,0.01,identity,0.4,18,0.7326093994661105,0.7199293577377643,0.03167884438586893,0.02741764278457825
50000,100,0.01,identity,0.4,19,0.7054225959465286,0.6896414010741306,0.03772463267796373,0.03725790021658027
50000,100,0.01,identity,0.4,20,0.7056583198707592,0.6861133548734518,0.030394549734286132,0.03190537347944625
50000,100,0.01,identity,0.4,21,0.7207379006150857,0.6821213715333981,0.04095388665388858,0.03438739610998603
50000,100,0.01,identity,0.4,22,0.7644993939393938,0.718910707070707,0.03835127369576834,0.027974756150615253
50000,100,0.01,identity,0.4,23,0.760385957105282,0.7677383724164236,0.04027787784046321,0.04108341959389067
50000,100,0.01,identity,0.4,24,0.7329215993847438,0.7319790193885422,0.0526794526056865,0.042622365538419624
50000,100,0.01,identity,0.6,0,0.7124757303412452,0.732192096501196,0.02667821001808842,0.031756986015488695
50000,100,0.01,identity,0.6,1,0.7834457806109436,0.7619758387175809,0.04394722972969394,0.04434127490636025
50000,100,0.01,identity,0.6,2,0.7045471631916599,0.6947047914995991,0.02622769323877584,0.03282509453939136
50000,100,0.01,identity,0.6,3,0.7273726956837243,0.7357836419710015,0.03140650675523037,0.03446058576055551
50000,100,0.01,identity,0.6,4,0.7444679372357479,0.7328199783824779,0.030716537171683735,0.03192512199446103
50000,100,0.01,identity,0.6,5,0.7461745189391938,0.7322140983892411,0.027142669142421274,0.024629516136515164
50000,100,0.01,identity,0.6,6,0.7194704623692241,0.7237306676490944,0.043342660057477625,0.03788665021717967
50000,100,0.01,identity,0.6,7,0.7629219171133383,0.7587301603683669,0.06404784126910637,0.05993172204310702
50000,100,0.01,identity,0.6,8,0.7305420338617653,0.7329767431633739,0.04729893947168655,0.03961695414863059
50000,100,0.01,identity,0.6,9,0.7247047880944678,0.7309890431423297,0.03849878701644449,0.04203420641686156
50000,100,0.01,identity,0.6,10,0.7348784083456004,0.7195640491028904,0.04171771982965636,0.04432873109245453
50000,100,0.01,identity,0.6,11,0.7386128364389234,0.7285417965472918,0.030715605696642764,0.029424390693543447
50000,100,0.01,identity,0.6,12,0.7372919725998626,0.7186763142144095,0.032276259885083945,0.03196050867658899
50000,100,0.01,identity,0.6,13,0.7403607275204812,0.7323172682254018,0.044633547826499004,0.03550726573072083
50000,100,0.01,identity,0.6,14,0.7167076294887271,0.7221406779324706,0.0409118615815377,0.04764028893410437
50000,100,0.01,identity,0.6,15,0.7429390883921652,0.7408200638377845,0.05572951824574531,0.05599323297287705
50000,100,0.01,identity,0.6,16,0.7180639360035154,0.7256635802754856,0.03498091441282756,0.035417864542893585
50000,100,0.01,identity,0.6,17,0.6870654810024251,0.6980281077047448,0.021980347700736574,0.026166244236856956
50000,100,0.01,identity,0.6,18,0.7326093994661105,0.7244082997870822,0.03167884438586893,0.027865920752673908
50000,100,0.01,identity,0.6,19,0.7054225959465286,0.7047390136814459,0.03772463267796373,0.04253695104985325
50000,100,0.01,identity,0.6,20,0.7056583198707592,0.7007195745826602,0.030394549734286132,0.03414757575321754
50000,100,0.01,identity,0.6,21,0.7207379006150857,0.7100323504550197,0.04095388665388858,0.043511431660821845
50000,100,0.01,identity,0.6,22,0.7644993939393938,0.7418576161616162,0.03835127369576834,0.032416069644603314
50000,100,0.01,identity,0.6,23,0.760385957105282,0.7752258766876187,0.04027787784046321,0.03619965571118989
50000,100,0.01,identity,0.6,24,0.7329215993847438,0.7418139741001526,0.0526794526056865,0.049385869558824035
50000,100,0.01,identity,0.8,0,0.7124757303412452,0.73198284105327,0.02667821001808842,0.0322729520193272
50000,100,0.01,identity,0.8,1,0.7834457806109436,0.7808258749676505,0.04394722972969394,0.04849609579150179
50000,100,0.01,identity,0.8,2,0.7045471631916599,0.7104592689120555,0.02622769323877584,0.028434151933655366
50000,100,0.01,identity,0.8,3,0.7273726956837243,0.7369424636123865,0.03140650675523037,0.034565223970832004
50000,100,0.01,identity,0.8,4,0.7444679372357479,0.7373818229886792,0.030716537171683735,0.032922266100333365
50000,100,0.01,identity,0.8,5,0.7461745189391938,0.7492234488227159,0.027142669142421274,0.026611876198720772
50000,100,0.01,identity,0.8,6,0.7194704623692241,0.7343296826181022,0.043342660057477625,0.04054084612496942
50000,100,0.01,identity,0.8,7,0.7629219171133383,0.7690580957978709,0.06404784126910637,0.06315514532874526
50000,100,0.01,identity,0.8,8,0.7305420338617653,0.7350253311660488,0.04729893947168655,0.04198883702613467
50000,100,0.01,identity,0.8,9,0.7247047880944678,0.7328415513730565,0.03849878701644449,0.044907498516818745
50000,100,0.01,identity,0.8,10,0.7348784083456004,0.7252652965632216,0.04171771982965636,0.04424459424963466
50000,100,0.01,identity,0.8,11,0.7386128364389234,0.7423957299098725,0.030715605696642764,0.03267577124487036
50000,100,0.01,identity,0.8,12,0.7372919725998626,0.7342052393552464,0.032276259885083945,0.03510157408520055
50000,100,0.01,identity,0.8,13,0.7403607275204812,0.7465591089618958,0.044633547826499004,0.04263184241477843
50000,100,0.01,identity,0.8,14,0.7167076294887271,0.729865249029468,0.0409118615815377,0.051294544242999784
50000,100,0.01,identity,0.8,15,0.7429390883921652,0.7523351663941666,0.05572951824574531,0.06030970123551416
50000,100,0.01,identity,0.8,16,0.7180639360035154,0.7326152120019329,0.03498091441282756,0.03692017653140396
50000,100,0.01,identity,0.8,17,0.6870654810024251,0.7014402089422299,0.021980347700736574,0.025888363689491274
50000,100,0.01,identity,0.8,18,0.7326093994661105,0.729779093609821,0.03167884438586893,0.02855284820954543
50000,100,0.01,identity,0.8,19,0.7054225959465286,0.7098358667529107,0.03772463267796373,0.037006423527131106
50000,100,0.01,identity,0.8,20,0.7056583198707592,0.7094641895530425,0.030394549734286132,0.03377908147191161
50000,100,0.01,identity,0.8,21,0.7207379006150857,0.7204478930614007,0.04095388665388858,0.05187493843560252
50000,100,0.01,identity,0.8,22,0.7644993939393938,0.7549213737373736,0.03835127369576834,0.035036397698181065
50000,100,0.01,identity,0.8,23,0.760385957105282,0.7764191625014237,0.04027787784046321,0.038269894320679516
50000,100,0.01,identity,0.8,24,0.7329215993847438,0.7474254904581361,0.0526794526056865,0.05514829213858488
50000,100,0.01,identity,1.0,0,0.7124757303412452,0.7323576466973398,0.02667821001808842,0.032352215881483404
50000,100,0.01,identity,1.0,1,0.7834457806109436,0.7950595885977394,0.04394722972969394,0.05123890389565408
50000,100,0.01,identity,1.0,2,0.7045471631916599,0.7200392052035998,0.02622769323877584,0.02812795715315148
50000,100,0.01,identity,1.0,3,0.7273726956837243,0.734389260246445,0.03140650675523037,0.03572101429650927
50000,100,0.01,identity,1.0,4,0.7444679372357479,0.7508557213996778,0.030716537171683735,0.03724791013536685
50000,100,0.01,identity,1.0,5,0.7461745189391938,0.7546295559737325,0.027142669142421274,0.027181055921631305
50000,100,0.01,identity,1.0,6,0.7194704623692241,0.7359798896579668,0.043342660057477625,0.0424968267016335
50000,100,0.01,identity,1.0,7,0.7629219171133383,0.7799252883735642,0.06404784126910637,0.06470128516148048
50000,100,0.01,identity,1.0,8,0.7305420338617653,0.7341356433397562,0.04729893947168655,0.04316558305305341
50000,100,0.01,identity,1.0,9,0.7247047880944678,0.7359423468513902,0.03849878701644449,0.04829108617216468
50000,100,0.01,identity,1.0,10,0.7348784083456004,0.7292988802363094,0.04171771982965636,0.042886636398560475
50000,100,0.01,identity,1.0,11,0.7386128364389234,0.7484164184503606,0.030715605696642764,0.035620436584959954
50000,100,0.01,identity,1.0,12,0.7372919725998626,0.7384970552943586,0.032276259885083945,0.03667605828954721
50000,100,0.01,identity,1.0,13,0.7403607275204812,0.7568282940326039,0.044633547826499004,0.04674244513800658
50000,100,0.01,identity,1.0,14,0.7167076294887271,0.7387229788829188,0.0409118615815377,0.05203932398055548
50000,100,0.01,identity,1.0,15,0.7429390883921652,0.7616464567092096,0.05572951824574531,0.062381437518169006
50000,100,0.01,identity,1.0,16,0.7180639360035154,0.7338612475537526,0.03498091441282756,0.04242245730785369
50000,100,0.01,identity,1.0,17,0.6870654810024251,0.7019258752565138,0.021980347700736574,0.02500352965166408
50000,100,0.01,identity,1.0,18,0.7326093994661105,0.7337503453041019,0.03167884438586893,0.028555886872976024
50000,100,0.01,identity,1.0,19,0.7054225959465286,0.7117984093849229,0.03772463267796373,0.04131416766461458
50000,100,0.01,identity,1.0,20,0.7056583198707592,0.7169816908993001,0.030394549734286132,0.03436320359845853
50000,100,0.01,identity,1.0,21,0.7207379006150857,0.7300889581310025,0.04095388665388858,0.058522747982218716
50000,100,0.01,identity,1.0,22,0.7644993939393938,0.7655983838383839,0.03835127369576834,0.03965425624712821
50000,100,0.01,identity,1.0,23,0.760385957105282,0.7746040701509024,0.04027787784046321,0.04279537817471902
50000,100,0.01,identity,1.0,24,0.7329215993847438,0.7528529457969608,0.0526794526056865,0.05461252015030444
50000,100,0.01,relu,0.0,0,0.7120446376304868,0.7107434130887957,0.026513856707182745,0.031988245339308434
50000,100,0.01,relu,0.0,1,0.7835704783442646,0.5001616684180745,0.04442151145332434,0.010323303457106274
50000,100,0.01,relu,0.0,2,0.7025165953844784,0.6475979851643946,0.02827139003614649,0.022719444656716922
50000,100,0.01,relu,0.0,3,0.49995953055443143,0.4999190611088628,0.0116,0.0116
50000,100,0.01,relu,0.0,4,0.7437128594881094,0.6709670269364473,0.03017130352509493,0.01931916670775302
50000,100,0.01,relu,0.0,5,0.7062581020013733,0.6084355635938299,0.023091217572107955,0.015406991688263514
50000,100,0.01,relu,0.0,6,0.7220521648780935,0.6929635873554302,0.030867865262586613,0.026424157196676117
50000,100,0.01,relu,0.0,7,0.7630132554050852,0.5726219404897487,0.06426781976944788,0.014911780053879812
50000,100,0.01,relu,0.0,8,0.638500905508074,0.6873380100488069,0.0389811565168202,0.03941855009712462
50000,100,0.01,relu,0.0,9,0.7259108512379393,0.7107726178468798,0.0389342736564505,0.031643578050022776
50000,100,0.01,relu,0.0,10,0.4998380697919197,0.6286467579453121,0.01192,0.02343409960216922
50000,100,0.01,relu,0.0,11,0.7400412026240375,0.6957926374040807,0.029496227284367543,0.019782200909816243
50000,100,0.01,relu,0.0,12,0.6942449841302086,0.5964797812947064,0.027731011005039073,0.014421173894140315
50000,100,0.01,relu,0.0,13,0.6619373888695016,0.596045312162454,0.041325479268834106,0.017824836556513568
50000,100,0.01,relu,0.0,14,0.7183427459337941,0.6726828297757439,0.028143889614705223,0.028431441349311765
50000,100,0.01,relu,0.0,15,0.49967687212214235,0.49983843606107115,0.00968,0.00968
50000,100,0.01,relu,0.0,16,0.4998383054410219,0.6486420434242463,0.01048,0.024670579659506
50000,100,0.01,relu,0.0,17,0.6904732292767862,0.65429388719607,0.021862665066567893,0.02030332492369304
50000,100,0.01,relu,0.0,18,0.7321044240327582,0.6886446364346562,0.03129880874086528,0.022769221722602106
50000,100,0.01,relu,0.0,19,0.5037878787878788,0.6020320034105611,0.018055757575757576,0.019688850210328852
50000,100,0.01,relu,0.0,20,0.7052487210554658,0.6276050080775444,0.02696006832773011,0.018567326385188685
50000,100,0.01,relu,0.0,21,0.6808804089780942,0.5825942636955506,0.03647000312520251,0.017786387364520144
50000,100,0.01,relu,0.0,22,0.7204770909090911,0.579902707070707,0.03283867773223506,0.01378080863649685
50000,100,0.01,relu,0.0,23,0.7274461034781434,0.7039181096021763,0.03411685044834904,0.02561525334658033
50000,100,0.01,relu,0.0,24,0.7347223492282332,0.6727987122762839,0.04809476466802084,0.02440908353467038
50000,100,0.01,relu,0.2,0,0.7120446376304868,0.7190070166795134,0.026513856707182745,0.03215261675349154
50000,100,0.01,relu,0.2,1,0.7835704783442646,0.5000404171045186,0.04442151145332434,0.010320825666053284
50000,100,0.01,relu,0.2,2,0.7025165953844784,0.6739341085271319,0.02827139003614649,0.025607512075844246
50000,100,0.01,relu,0.2,3,0.49995953055443143,0.49995953055443143,0.0116,0.0116
50000,100,0.01,relu,0.2,4,0.7437128594881094,0.7010132462401334,0.03017130352509493,0.023610973063114937
50000,100,0.01,relu,0.2,5,0.7062581020013733,0.6742347924201224,0.023091217572107955,0.018467818729972083
50000,100,0.01,relu,0.2,6,0.7220521648780935,0.7096597664696718,0.030867865262586613,0.030955550342364815
50000,100,0.01,relu,0.2,7,0.7630132554050852,0.5210307706836079,0.06426781976944788,0.013185462913836531
50000,100,0.01,relu,0.2,8,0.638500905508074,0.7069572622712834,0.0389811565168202,0.041554850003943045
50000,100,0.01,relu,0.2,9,0.7259108512379393,0.7191216910575294,0.0389342736564505,0.034669232657160605
50000,100,0.01,relu,0.2,10,0.4998380697919197,0.6732699414605996,0.01192,0.0331648795901258
50000,100,0.01,relu,0.2,11,0.7400412026240375,0.6588247631362226,0.029496227284367543,0.015797327422701724
50000,100,0.01,relu,0.2,12,0.6942449841302086,0.5873257436077536,0.027731011005039073,0.015357069189067521
50000,100,0.01,relu,0.2,13,0.6619373888695016,0.669834405171411,0.041325479268834106,0.024003276911505247
50000,100,0.01,relu,0.2,14,0.7183427459337941,0.6969173040796397,0.028143889614705223,0.03528305416585043
50000,100,0.01,relu,0.2,15,0.49967687212214235,0.49979804507633896,0.00968,0.00968
50000,100,0.01,relu,0.2,16,0.4998383054410219,0.6665210181326254,0.01048,0.02951178247018975
50000,100,0.01,relu,0.2,17,0.6904732292767862,0.685941794664511,0.021862665066567893,0.02534323681797712
50000,100,0.01,relu,0.2,18,0.7321044240327582,0.70928211362083,0.03129880874086528,0.025467636094505024
50000,100,0.01,relu,0.2,19,0.5037878787878788,0.6481339919244188,0.018055757575757576,0.03128226619237121
50000,100,0.01,relu,0.2,20,0.7052487210554658,0.658403338718363,0.02696006832773011,0.023385457835198596
50000,100,0.01,relu,0.2,21,0.6808804089780942,0.6372601255350526,0.03647000312520251,0.02343384616728194
50000,100,0.01,relu,0.2,22,0.7204770909090911,0.6404318383838383,0.03283867773223506,0.0182031903775678
50000,100,0.01,relu,0.2,23,0.7274461034781434,0.7434952016931149,0.03411685044834904,0.036446047872005526
50000,100,0.01,relu,0.2,24,0.7347223492282332,0.7138542846357117,0.04809476466802084,0.036233609358621154
50000,100,0.01,relu,0.4,0,0.7120446376304868,0.7267958223076902,0.026513856707182745,0.03274045714246943
50000,100,0.01,relu,0.4,1,0.7835704783442646,0.5001212513135559,0.04442151145332434,0.010322477394574698
50000,100,0.01,relu,0.4,2,0.7025165953844784,0.6873085683417981,0.02827139003614649,0.027414648538203815
50000,100,0.01,relu,0.4,3,0.49995953055443143,0.49995953055443143,0.0116,0.0116
50000,100,0.01,relu,0.4,4,0.7437128594881094,0.7253005790264638,0.03017130352509493,0.030839540797196873
50000,100,0.01,relu,0.4,5,0.7062581020013733,0.7018056206968311,0.023091217572107955,0.021415232882719307
50000,100,0.01,relu,0.4,6,0.7220521648780935,0.718154144956767,0.030867865262586613,0.036248322312575666
50000,100,0.01,relu,0.4,7,0.7630132554050852,0.46170371199849736,0.06426781976944788,0.011638691754921299
50000,100,0.01,relu,0.4,8,0.638500905508074,0.7042230408232106,0.0389811565168202,0.03764462904569288
50000,100,0.01,relu,0.4,9,0.7259108512379393,0.7262605381848631,0.0389342736564505,0.03666631990794236
50000,100,0.01,relu,0.4,10,0.4998380697919197,0.7021619856338562,0.01192,0.03911081490050546
50000,100,0.01,relu,0.4,11,0.7400412026240375,0.6551076117101655,0.029496227284367543,0.015162576900521509
50000,100,0.01,relu,0.4,12,0.6942449841302086,0.6666353919015001,0.027731011005039073,0.02294730517887825
50000,100,0.01,relu,0.4,13,0.6619373888695016,0.714640768067534,0.041325479268834106,0.03079713497844088
50000,100,0.01,relu,0.4,14,0.7183427459337941,0.7062453511263749,0.028143889614705223,0.03901287459287517
50000,100,0.01,relu,0.4,15,0.49967687212214235,0.49979804507633896,0.00968,0.00968
50000,100,0.01,relu,0.4,16,0.4998383054410219,0.6736497732881823,0.01048,0.030033973468516433
50000,100,0.01,relu,0.4,17,0.6904732292767862,0.698234562527206,0.021862665066567893,0.025856276614257163
50000,100,0.01,relu,0.4,18,0.7321044240327582,0.7200813933521069,0.03129880874086528,0.028218001573803306
50000,100,0.01,relu,0.4,19,0.5037878787878788,0.6817024138539339,0.018055757575757576,0.036221704490103014
50000,100,0.01,relu,0.4,20,0.7052487210554658,0.684303984921917,0.02696006832773011,0.032047372806209146
50000,100,0.01,relu,0.4,21,0.6808804089780942,0.6798642584799107,0.03647000312520251,0.03404071610483191
50000,100,0.01,relu,0.4,22,0.7204770909090911,0.7025939393939394,0.03283867773223506,0.02499624583072309
50000,100,0.01,relu,0.4,23,0.7274461034781434,0.7692137557644577,0.03411685044834904,0.04134313507887383
50000,100,0.01,relu,0.4,24,0.7347223492282332,0.7317902689166662,0.04809476466802084,0.04264961584036362
50000,100,0.01,relu,0.6,0,0.7120446376304868,0.732109321403124,0.026513856707182745,0.03311780519268431
50000,100,0.01,relu,0.6,1,0.7835704783442646,0.5000404171045186,0.04442151145332434,0.010320825666053284
50000,100,0.01,relu,0.6,2,0.7025165953844784,0.699432109284505,0.02827139003614649,0.03418608421141634
50000,100,0.01,relu,0.6,3,0.49995953055443143,0.49995953055443143,0.0116,0.0116
50000,100,0.01,relu,0.6,4,0.7437128594881094,0.7339696193032855,0.03017130352509493,0.03279349378852898
50000,100,0.01,relu,0.6,5,0.7062581020013733,0.7315618017641919,0.023091217572107955,0.024390358730429076
50000,100,0.01,relu,0.6,6,0.7220521648780935,0.7235908867372816,0.030867865262586613,0.03834403041523096
50000,100,0.01,relu,0.6,7,0.7630132554050852,0.4444296800940836,0.06426781976944788,0.011214253678144789
50000,100,0.01,relu,0.6,8,0.638500905508074,0.7250285434807441,0.0389811565168202,0.04129598604522681
50000,100,0.01,relu,0.6,9,0.7259108512379393,0.7304032580356633,0.0389342736564505,0.042188178640482965
50000,100,0.01,relu,0.6,10,0.4998380697919197,0.7208790528060929,0.01192,0.0436549626268627
50000,100,0.01,relu,0.6,11,0.7400412026240375,0.64701717118074,0.029496227284367543,0.014833063688584395
50000,100,0.01,relu,0.6,12,0.6942449841302086,0.6708437128253508,0.027731011005039073,0.02608315401584229
50000,100,0.01,relu,0.6,13,0.6619373888695016,0.7317055311830102,0.041325479268834106,0.03609560572685586
50000,100,0.01,relu,0.6,14,0.7183427459337941,0.7208144585265504,0.028143889614705223,0.047053368057350324
50000,100,0.01,relu,0.6,15,0.49967687212214235,0.49983843606107115,0.00968,0.00968
50000,100,0.01,relu,0.6,16,0.4998383054410219,0.6805372209148827,0.01048,0.03138205627952861
50000,100,0.01,relu,0.6,17,0.6904732292767862,0.6979796032585038,0.021862665066567893,0.026272191365587828
50000,100,0.01,relu,0.6,18,0.7321044240327582,0.7241965358956763,0.03129880874086528,0.028137954036282865
50000,100,0.01,relu,0.6,19,0.5037878787878788,0.7001603600689953,0.018055757575757576,0.03797259322189147
50000,100,0.01,relu,0.6,20,0.7052487210554658,0.6993935110393107,0.02696006832773011,0.03340864594301517
50000,100,0.01,relu,0.6,21,0.6808804089780942,0.7090111416855509,0.03647000312520251,0.04342652843231181
50000,100,0.01,relu,0.6,22,0.7204770909090911,0.7321412525252525,0.03283867773223506,0.03044943468942131
50000,100,0.01,relu,0.6,23,0.7274461034781434,0.7759350937278992,0.03411685044834904,0.03657044157946165
50000,100,0.01,relu,0.6,24,0.7347223492282332,0.7422360248447204,0.04809476466802084,0.04981805927612168
50000,100,0.01,relu,0.8,0,0.7120446376304868,0.7319186075771662,0.026513856707182745,0.032240811396270316
50000,100,0.01,relu,0.8,1,0.7835704783442646,0.5001616684180745,0.04442151145332434,0.010323303457106274
50000,100,0.01,relu,0.8,2,0.7025165953844784,0.7102100596988329,0.02827139003614649,0.028621422178684908
50000,100,0.01,relu,0.8,3,0.49995953055443143,0.49995953055443143,0.0116,0.0116
50000,100,0.01,relu,0.8,4,0.7437128594881094,0.737815775717207,0.03017130352509493,0.033786979634114596
50000,100,0.01,relu,0.8,5,0.7062581020013733,0.7476445727966217,0.023091217572107955,0.026347280867682687
50000,100,0.01,relu,0.8,6,0.7220521648780935,0.7340181466182923,0.030867865262586613,0.03749062590068844
50000,100,0.01,relu,0.8,7,0.7630132554050852,0.7167238348046368,0.06426781976944788,0.06144755437374416
50000,100,0.01,relu,0.8,8,0.638500905508074,0.7166969038970901,0.0389811565168202,0.04032394482342369
50000,100,0.01,relu,0.8,9,0.7259108512379393,0.7322953141949112,0.0389342736564505,0.04038495850503124
