,lr,batch,hidden
0,0.001,256,[50]
1,0.001,256,[200]
2,0.001,256,[20]
3,0.001,256,[20]
4,0.001,64,[1000]
5,0.001,64,[20]
6,0.001,256,[50]
7,0.001,64,[1000]
8,0.001,256,[200]
