n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.01,torch,150,relu,0,0.688576163,0.701532971,0.021313744,0.02711184,25,25,TRUE
50000,100,0.01,torch,150,relu,1,0.650769272,0.659200468,0.017289813,0.035939082,25,25,TRUE
50000,100,0.01,torch,150,relu,2,0.707564629,0.720444379,0.045454905,0.038684049,25,25,TRUE
50000,100,0.01,torch,150,relu,3,0.693413175,0.675315621,0.030725079,0.029967679,25,25,TRUE
50000,100,0.01,torch,150,relu,4,0.700013965,0.730460105,0.037460604,0.03571547,25,25,TRUE
50000,100,0.01,torch,150,relu,5,0.703447033,0.694218985,0.034545396,0.027482094,25,25,TRUE
50000,100,0.01,torch,150,relu,6,0.705089669,0.722864924,0.033190165,0.035661012,25,25,TRUE
50000,100,0.01,torch,150,relu,7,0.730686351,0.710034939,0.036228124,0.034616022,25,25,TRUE
50000,100,0.01,torch,150,relu,8,0.704445798,0.698227963,0.024130874,0.023433738,25,25,TRUE
50000,100,0.01,torch,150,relu,9,0.730210526,0.720037247,0.040824958,0.039470475,25,25,TRUE
50000,100,0.01,torch,200,relu,0,0.681395304,0.703496105,0.020663763,0.025535921,25,25,TRUE
50000,100,0.01,torch,200,relu,1,0.62371425,0.618989209,0.016676202,0.017891044,25,25,TRUE
50000,100,0.01,torch,200,relu,2,0.747522848,0.714526491,0.037338868,0.038638822,25,25,TRUE
50000,100,0.01,torch,200,relu,3,0.673977718,0.666912088,0.028648998,0.029729251,25,25,TRUE
50000,100,0.01,torch,200,relu,4,0.710811667,0.722591275,0.041855618,0.035894595,25,25,TRUE
50000,100,0.01,torch,200,relu,5,0.692815479,0.695366172,0.030836601,0.032344812,25,25,TRUE
50000,100,0.01,torch,200,relu,6,0.698137876,0.722778046,0.030697019,0.032222678,25,25,TRUE
50000,100,0.01,torch,200,relu,7,0.722800654,0.720517758,0.030686336,0.031119802,25,25,TRUE
50000,100,0.01,torch,200,relu,8,0.683992054,0.6931747,0.022660893,0.02272815,25,25,TRUE
50000,100,0.01,torch,200,relu,9,0.725824561,0.718387584,0.040966066,0.050333884,25,25,TRUE
