n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.005,torch,100,relu,2,0.720875761,0.693652454,0.017200233,0.013639726,25,25,TRUE
50000,100,0.005,torch,100,relu,3,0.664030266,0.669493403,0.010758097,0.015702418,25,25,TRUE
50000,100,0.005,torch,100,relu,4,0.724148581,0.70482989,0.019754355,0.014300766,25,25,TRUE
50000,100,0.005,torch,100,relu,5,0.638561447,0.653634937,0.010723673,0.010750726,25,25,TRUE
50000,100,0.005,torch,100,relu,6,0.690906705,0.689948396,0.016693832,0.016850708,25,25,TRUE
50000,100,0.005,torch,100,relu,7,0.695461373,0.703341783,0.018431618,0.019917464,25,25,TRUE
50000,100,0.005,torch,100,relu,8,0.646005434,0.644443222,0.009169241,0.009289895,25,25,TRUE
50000,100,0.005,torch,100,relu,9,0.693699637,0.729763509,0.012629544,0.012854185,25,25,TRUE
50000,100,0.005,torch,150,relu,0,0.681105298,0.592,0.017965327,0.015101217,25,25,TRUE
50000,100,0.005,torch,150,relu,1,0.623603031,0.662700486,0.011331213,0.01312991,25,25,TRUE
50000,100,0.005,torch,150,relu,2,0.704121365,0.665258591,0.018854924,0.012079533,25,25,TRUE
50000,100,0.005,torch,150,relu,3,0.673368086,0.668806653,0.012904707,0.025060536,25,25,TRUE
50000,100,0.005,torch,150,relu,4,0.695452212,0.712292447,0.021555505,0.015904903,25,25,TRUE
50000,100,0.005,torch,150,relu,5,0.670704368,0.616969299,0.011388029,0.009089315,25,25,TRUE
50000,100,0.005,torch,150,relu,6,0.682723306,0.65076113,0.013102939,0.036969633,25,25,TRUE
50000,100,0.005,torch,150,relu,7,0.700821113,0.664491246,0.018002513,0.015449206,25,25,TRUE
50000,100,0.005,torch,150,relu,8,0.643476005,0.636141507,0.008056643,0.010411885,25,25,TRUE
50000,100,0.005,torch,150,relu,9,0.669685893,0.736415797,0.011684758,0.036536289,25,25,TRUE
50000,100,0.005,torch,200,relu,0,0.673847887,0.555469349,0.017503959,0.011612972,25,25,TRUE
50000,100,0.005,torch,200,relu,1,0.650493088,0.622263512,0.010779063,0.010253499,25,25,TRUE
50000,100,0.005,torch,200,relu,2,0.715680956,0.575315481,0.0195803,0.008572302,25,25,TRUE
50000,100,0.005,torch,200,relu,3,0.681183592,0.658105252,0.010740992,0.010961625,25,25,TRUE
50000,100,0.005,torch,200,relu,4,0.68670312,0.710320775,0.015071013,0.01612945,25,25,TRUE
50000,100,0.005,torch,200,relu,5,0.626701467,0.653942263,0.009602818,0.011053286,25,25,TRUE
50000,100,0.005,torch,200,relu,6,0.680557171,0.64569621,0.013012135,0.037633027,25,25,TRUE
50000,100,0.005,torch,200,relu,7,0.690631352,0.64229561,0.015747689,0.013750546,25,25,TRUE
50000,100,0.005,torch,200,relu,8,0.622427039,0.597146144,0.015475781,0.007570994,25,25,TRUE
50000,100,0.005,torch,200,relu,9,0.667954074,0.729317036,0.021890822,0.025558802,25,25,TRUE
