n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.005,torch,100,relu,2,0.720875761,0.715209746,0.017200233,0.027050464,0,25,TRUE
50000,100,0.005,torch,100,relu,3,0.664030266,0.679380183,0.010758097,0.012314383,0,25,TRUE
50000,100,0.005,torch,100,relu,4,0.724148581,0.736346197,0.019754355,0.014515263,0,25,TRUE
50000,100,0.005,torch,100,relu,5,0.638561447,0.690154177,0.010723673,0.011531077,0,25,TRUE
50000,100,0.005,torch,100,relu,6,0.690906705,0.703629146,0.016693832,0.021477132,0,25,TRUE
50000,100,0.005,torch,100,relu,7,0.695461373,0.718362986,0.018431618,0.02561145,0,25,TRUE
50000,100,0.005,torch,100,relu,8,0.646005434,0.662000477,0.009169241,0.012702523,0,25,TRUE
50000,100,0.005,torch,100,relu,9,0.693699637,0.723084956,0.012629544,0.016706188,0,25,TRUE
50000,100,0.005,torch,150,relu,0,0.681105298,0.677391281,0.017965327,0.014612478,0,25,TRUE
50000,100,0.005,torch,150,relu,1,0.623603031,0.66126178,0.011331213,0.011629732,0,25,TRUE
50000,100,0.005,torch,150,relu,2,0.704121365,0.704915527,0.018854924,0.025916694,0,25,TRUE
50000,100,0.005,torch,150,relu,3,0.673368086,0.667367012,0.012904707,0.012128132,0,25,TRUE
50000,100,0.005,torch,150,relu,4,0.695452212,0.739995911,0.021555505,0.014464917,0,25,TRUE
50000,100,0.005,torch,150,relu,5,0.670704368,0.682473268,0.011388029,0.010949684,0,25,TRUE
50000,100,0.005,torch,150,relu,6,0.682723306,0.676193089,0.013102939,0.015157831,0,25,TRUE
50000,100,0.005,torch,150,relu,7,0.700821113,0.709633034,0.018002513,0.024229898,0,25,TRUE
50000,100,0.005,torch,150,relu,8,0.643476005,0.664189405,0.008056643,0.011597618,0,25,TRUE
50000,100,0.005,torch,150,relu,9,0.669685893,0.711071905,0.011684758,0.021654793,0,25,TRUE
50000,100,0.005,torch,200,relu,0,0.673847887,0.668978672,0.017503959,0.013683192,0,25,TRUE
50000,100,0.005,torch,200,relu,1,0.650493088,0.680865502,0.010779063,0.015651599,0,25,TRUE
50000,100,0.005,torch,200,relu,2,0.715680956,0.695932651,0.0195803,0.041697414,0,25,TRUE
50000,100,0.005,torch,200,relu,3,0.681183592,0.669347896,0.010740992,0.012208412,0,25,TRUE
50000,100,0.005,torch,200,relu,4,0.68670312,0.681158947,0.015071013,0.013246336,0,25,TRUE
50000,100,0.005,torch,200,relu,5,0.626701467,0.676009928,0.009602818,0.010837928,0,25,TRUE
50000,100,0.005,torch,200,relu,6,0.680557171,0.670971103,0.013012135,0.015113228,0,25,TRUE
50000,100,0.005,torch,200,relu,7,0.690631352,0.72632347,0.015747689,0.021265201,0,25,TRUE
50000,100,0.005,torch,200,relu,8,0.622427039,0.651091081,0.015475781,0.008151388,0,25,TRUE
50000,100,0.005,torch,200,relu,9,0.667954074,0.714421996,0.021890822,0.020441156,0,25,TRUE
