n,p,er,model,hidden_layers,activation,iter,auc_single,auc_multi,ap_single,ap_multi,n_distinct,n_random_features,shared_second_layer_weights
50000,100,0.005,torch,100,relu,0,0.675868008,0.67749108,0.014722656,0.014128289,0,25,TRUE
50000,100,0.005,torch,100,relu,1,0.618845971,0.654966826,0.009933453,0.01218657,0,25,TRUE
50000,100,0.005,torch,100,relu,2,0.720875761,0.715209746,0.017200233,0.027050464,0,25,TRUE
50000,100,0.005,torch,100,relu,3,0.664030266,0.679380183,0.010758097,0.012314383,0,25,TRUE
50000,100,0.005,torch,100,relu,4,0.724148581,0.736346197,0.019754355,0.014515263,0,25,TRUE
50000,100,0.005,torch,100,relu,5,0.638561447,0.690154177,0.010723673,0.011531077,0,25,TRUE
50000,100,0.005,torch,100,relu,6,0.690906705,0.703629146,0.016693832,0.021477132,0,25,TRUE
50000,100,0.005,torch,100,relu,7,0.695461373,0.718362986,0.018431618,0.02561145,0,25,TRUE
50000,100,0.005,torch,100,relu,8,0.646005434,0.662000477,0.009169241,0.012702523,0,25,TRUE
50000,100,0.005,torch,100,relu,9,0.693699637,0.723084956,0.012629544,0.016706188,0,25,TRUE
50000,100,0.005,torch,100,relu,0,0.675868008,0.6439222,0.014722656,0.015977478,5,25,TRUE
50000,100,0.005,torch,100,relu,1,0.618845971,0.610098834,0.009933453,0.010919363,5,25,TRUE
50000,100,0.005,torch,100,relu,2,0.720875761,0.68567406,0.017200233,0.022415942,5,25,TRUE
50000,100,0.005,torch,100,relu,3,0.664030266,0.647765416,0.010758097,0.014162223,5,25,TRUE
50000,100,0.005,torch,100,relu,4,0.724148581,0.730281102,0.019754355,0.021296948,5,25,TRUE
50000,100,0.005,torch,100,relu,5,0.638561447,0.662596556,0.010723673,0.012370339,5,25,TRUE
50000,100,0.005,torch,100,relu,6,0.690906705,0.69606507,0.016693832,0.020102478,5,25,TRUE
50000,100,0.005,torch,100,relu,7,0.695461373,0.715333918,0.018431618,0.031543778,5,25,TRUE
50000,100,0.005,torch,100,relu,8,0.646005434,0.648030105,0.009169241,0.011884339,5,25,TRUE
50000,100,0.005,torch,100,relu,9,0.693699637,0.680371113,0.012629544,0.022064182,5,25,TRUE
50000,100,0.005,torch,100,relu,0,0.675868008,0.647819718,0.014722656,0.015426154,10,25,TRUE
50000,100,0.005,torch,100,relu,1,0.618845971,0.623500898,0.009933453,0.011735145,10,25,TRUE
50000,100,0.005,torch,100,relu,2,0.720875761,0.732021607,0.017200233,0.020297784,10,25,TRUE
50000,100,0.005,torch,100,relu,3,0.664030266,0.6532506,0.010758097,0.011271389,10,25,TRUE
50000,100,0.005,torch,100,relu,4,0.724148581,0.722801145,0.019754355,0.016704378,10,25,TRUE
50000,100,0.005,torch,100,relu,5,0.638561447,0.644920296,0.010723673,0.010689381,10,25,TRUE
50000,100,0.005,torch,100,relu,6,0.690906705,0.684886459,0.016693832,0.017474011,10,25,TRUE
50000,100,0.005,torch,100,relu,7,0.695461373,0.709259672,0.018431618,0.019524079,10,25,TRUE
50000,100,0.005,torch,100,relu,8,0.646005434,0.637067836,0.009169241,0.013160281,10,25,TRUE
50000,100,0.005,torch,100,relu,9,0.693699637,0.682118382,0.012629544,0.023862784,10,25,TRUE
50000,100,0.005,torch,100,relu,0,0.675868008,0.649083836,0.014722656,0.010967012,15,25,TRUE
50000,100,0.005,torch,100,relu,1,0.618845971,0.662498183,0.009933453,0.013999556,15,25,TRUE
50000,100,0.005,torch,100,relu,2,0.720875761,0.654794851,0.017200233,0.015246598,15,25,TRUE
